source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.85023499, 40.72083664)","(-73.6126709, 40.78338623)",8.33000,13.120,17.56000,25.950,14.89000,28.690,Matched
"(-73.785924, 40.645134)","(-73.85051727, 40.66954041)", ,5.62000,10.160, , ,,,"(-73.85051727, 40.66954041):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.85067749, 40.72571945)", ,8.51000,13.150, , ,,,"(-73.85067749, 40.72571945):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.85086823, 40.69108963)","(-73.78363037, 40.66244125)",6.57000,10.500,2.71000,6.380,7.96000,11.940,Matched
"(-73.785924, 40.645134)","(-73.85105133, 40.86278915)", ,18.86000,27.300, , ,,,"(-73.85105133, 40.86278915):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.852005, 40.72877884)","(-73.82415771, 40.66038132)",8.59000,13.340,4.23000,7.490,10.90000,15.010,Matched
"(-73.785924, 40.645134)","(-73.85220337, 40.69337463)", ,6.76000,10.890, , ,,,"(-73.85220337, 40.69337463):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.85245514, 40.71651077)", ,8.46000,13.600, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78891754, 40.64305115)', '(-73.82274628, 40.68207932)', '(-73.75619507, 40.69025421)']"
"(-73.785924, 40.645134)","(-73.85523224, 40.72972107)", ,8.75000,13.910, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.7891922, 40.64242172)']"
"(-73.785924, 40.645134)","(-73.85620117, 40.7240715)", ,8.57000,13.310, , ,,,"(-73.85620117, 40.7240715):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.85671997, 40.74385452)","(-73.84455109, 40.74058151)",10.08000,14.730,9.41000,12.230,16.77500,15.430,Matched
"(-73.785924, 40.645134)","(-73.85701752, 40.72468185)","(-73.70532227, 40.84545135)",8.83000,14.520,21.14000,32.060,16.09000,30.960,Matched
"(-73.785924, 40.645134)","(-73.85704041, 40.72465134)", ,8.83000,14.520, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.7891922, 40.64242172)']"
"(-73.785924, 40.645134)","(-73.85900879, 40.7505188)", ,10.45000,14.990, , ,,,"(-73.85900879, 40.7505188):Delay constraint failed"
